authors;publication;link;title;journal;doi;citations;database;forward_from;relevance;issn;jq3_ranking;abstract
Author links open overlay panel Guodong Yu a b, Aijun Liu c, Jianghua Zhang a, Huiping Sun a;2021;https://www.sciencedirect.com/science/article/pii/S0305048321000578;Optimal operations planning of electric autonomous vehicles via asynchronous learning in ride-hailing systems;Omega;https://doi.org/10.1016/j.omega.2021.102448;12;science_direct;bhandari_et_al_2008;True;0305-0483;B;Abstract Ride-hailing systems with electric autonomous vehicles are recognized as a next-generation development to ease congestion, reduce costs and carbon emissions. In this paper, we consider the operation planning problem involving vehicle dispatching, relocation, and recharging decisions. We model the problem as a Markov Decision Process (MDP) to generate the optimal policy that maximizes the total profits. We propose a flexible policy to provide optimal actions according to the reward considering future requests and vehicle availability. We show that our model outperforms the predetermined rules on improving profits. To handle the curse-of-dimensionality caused by the large scale of state space and uncertainty, we develop an asynchronous learning method to solve the problem by approximating the value function. We first draw the samples of exogenous information and update the quality of approximations based on the quality of decisions, then approximate the exact cost-to-go value function by solving an approximation subproblem efficiently given the state at each period. Two variant algorithms are presented for cases with scarce and sufficient information. We also incorporate the state aggregation and post-decision analysis to further improve computational efficiency. We use a set of shared actual data from Didi platform to verify the proposed model in numerical experiments. To conclude, we extract managerial insights that suggest important guidelines for the ride-hailing operations planning problem.
Author links open overlay panel Gwen Noteborn a, Amber Dailey-Hebert b, Katerina Bohle Carbonell a, Wim Gijselaers a;2014;https://www.sciencedirect.com/science/article/pii/S0742051X1300156X;Essential knowledge for academic performance: Educating in the virtual world to promote active learning;Teaching and Teacher Education;https://doi.org/10.1016/j.tate.2013.10.008;47;science_direct;murthy_et_al_2008;False;unknown;k.R.;Abstract Education has traditionally focused on the importance of content, and has guided curriculum design according to this principle. While content knowledge is important, to excel in the labor market today graduates need to develop procedural knowledge, with greater emphasis on capacity development for transferable skills. This need is amplified by emergent technologies, which increase the demand to develop knowledge in this domain. To disentangle and measure the impact of content and procedural knowledge on academic achievement, the study occurred in a virtual setting. Based on the findings, we provide recommendations for course designers and course developers to improve students‟ performance.
Author links open overlay panel H. Baumann a, T. Dayar b, M.C. Orhan b, W. Sandmann c;2013;https://www.sciencedirect.com/science/article/pii/S0166531613000515;On the numerical solution of Kronecker-based infinite level-dependent QBD processes;Performance Evaluation;https://doi.org/10.1016/j.peva.2013.05.001;12;science_direct;gurvich_et_al_2008;True;unknown;k.R.;Abstract Infinite level-dependent quasi-birth-and-death (LDQBD) processes can be used to model Markovian systems with countably infinite multidimensional state spaces. Recently it has been shown that sums of Kronecker products can be used to represent the nonzero blocks of the transition rate matrix underlying an LDQBD process for models from stochastic chemical kinetics. This paper extends the form of the transition rates used recently so that a larger class of models including those of call centers can be analyzed for their steady-state. The challenge in the matrix analytic solution then is to compute conditional expected sojourn time matrices of the LDQBD model under low memory and time requirements after truncating its countably infinite state space judiciously. Results of numerical experiments are presented using a Kronecker-based matrix-analytic solution on models with two or more countably infinite dimensions and rules of thumb regarding better implementations are derived. In doing this, a more recent approach that reduces memory requirements further by enabling the computation of steady-state expectations without having to obtain the steady-state distribution is also considered.
Author links open overlay panel Haiyan Wang a, Tava Lennon Olsen b, Guiqing Liu c;2018;https://www.sciencedirect.com/science/article/pii/S0305048317305601;Service capacity competition with peak arrivals and delay sensitive customers;Omega;https://doi.org/10.1016/j.omega.2017.06.001;26;science_direct;askin_et_al_2008,feldman_et_al_2008;True;0305-0483;B;Abstract We study capacity competition in a service environment where the arrival rates are highly seasonal (e.g., lunch time rushes) and customers are time sensitive, so may depart without receiving service if the waiting time is too long. As a stepping stone for the competitive model, we begin by studying a monopolist’s capacity decision, where the key trade-off is between the cost of extra capacity for low demand periods and the loss of revenue for high demand periods, we provide an attractive rule of thumb for capacity decisions in this setting. We then study a duopoly model, where lost demand for one firm may become increased demand for the competitor. In both models we use a fluid model for the analysis, which allows us both to provide explicit insights into the trade-offs when setting capacity and to solve for the Nash equilibrium (when it exists) in the duopoly. The canonical environment we have in mind for our modeling is a food court, but any service environment where the peak arrival rate will likely exceed available capacity is similarly appropriate.
Author links open overlay panel Hirofumi Fukuyama a, Atsuo Hashimoto b, Roman Matousek c d, Nickolaos G. Tzeremes e;2021;https://www.sciencedirect.com/science/article/pii/S0957417421008277;"Analyzing bank ""black boxes"": A two-stage Nerlovian profit inefficiency model";Expert Systems with Applications;https://doi.org/10.1016/j.eswa.2021.115405;6;science_direct;murthy_et_al_2008;False;unknown;k.R.;Abstract The paper introduces a two-stage network Nerlovian profit inefficiency estimator, modelling bank’ “black box” production processes. The unique features of the model include the modelling of a risk factor measured by period non-performing loans (NPLs). Specifically, NPLs enter in the second stage of banks production processes, alongside a human capital factor. The model is applied to Japanese local Shinkin banks over the period 2008–2015. The findings highlight the importance of incorporating previous period NPLs and human capital factors when modelling bank production processes. Moreover, we provide evidence that previous period NPLs act as an endogenous risk factor having a negative effect on bank profit efficiency levels. The empirical findings suggest that the human capital factor has a positive effect on bank profit efficiency levels. Finally, both the effect of NPLs and human capital factor has an asymmetric effect on bank performance levels.
Author links open overlay panel Hossein Abbasimehr a, Mostafa Shabani b, Mohsen Yousefi c;2020;https://www.sciencedirect.com/science/article/pii/S0360835220301698;An optimized model using LSTM network for demand forecasting;Computers & Industrial Engineering;https://doi.org/10.1016/j.cie.2020.106435;266;science_direct;taylor_2007;False;unknown;k.R.;Abstract In a business environment with strict competition among firms, accurate demand forecasting is not straightforward. In this paper, a forecasting method is proposed, which has a strong capability of predicting highly fluctuating demand data. Therefore, in this paper we propose a demand forecasting method based on multi-layer LSTM networks. The proposed method automatically selects the best forecasting model by considering different combinations of LSTM hyperparameters for a given time series using the grid search method. It has the ability to capture nonlinear patterns in time series data, while considering the inherent characteristics of non-stationary time series data. The proposed method is compared with some well-known time series forecasting techniques from both statistical and computational intelligence methods using demand data of a furniture company. These methods include autoregressive integrated moving average (ARIMA), exponential smoothing (ETS), artificial neural network (ANN), K-nearest neighbors (KNN), recurrent neural network (RNN), support vector machines (SVM) and single layer LSTM. The experimental results indicate that the proposed method is superior among the tested methods in terms of performance measures.
Author links open overlay panel Ignacio Castillo a, Tarja Joro b, Yong Yue Li c;2009;https://www.sciencedirect.com/science/article/pii/S0377221708002361;Workforce scheduling with multiple objectives;European Journal of Operational Research;https://doi.org/10.1016/j.ejor.2008.02.038;93;science_direct;cezik_l_ecuyer_2008;True;unknown;k.R.;Abstract In workforce scheduling, the optimal schedule has traditionally been determined by minimizing the cost of labor subject to an acceptable service level, which is defined as the percentage of customers served within a predetermined time interval. We propose an alternative multidimensional paradigm, where cost minimization and service level maximization are considered simultaneously, together with other, complementary criteria. The ultimate goal of the proposed approach is to open a broader workforce scheduling paradigm that incorporates service quality into the analysis and provides the possibility to study the interaction between cost and service quality. Furthermore, the approach enables us to avoid strong assumptions. An example with real-world, empirical demand data is provided.
Author links open overlay panel Ismail Civelek a, Itir Karaesmen b, Alan Scheller-Wolf c;2015;https://www.sciencedirect.com/science/article/pii/S0377221715000430;Blood platelet inventory management with protection levels;European Journal of Operational Research;https://doi.org/10.1016/j.ejor.2015.01.023;109;science_direct;bhandari_et_al_2008;True;unknown;k.R.;Abstract We consider a discrete-time inventory system for a perishable product where demand exists for product of different ages, an example of such a product is blood platelets. In addition to the classical costs for inventory holding, outdating, and shortage, our model includes substitution (mismatch) costs incurred when a demand for a certain-aged item is satisfied by a different-aged item. We propose a simple inventory replenishment and allocation heuristic to minimize the expected total cost over an infinite time horizon. In our heuristic, inventory of the newest items is replenished in fixed quantities and the newest items are protected for future use by limiting some substitutions when making allocation decisions according to a critical-level policy. We model our problem as a Markov Decision Process (MDP), derive the costs of our heuristic policy, and computationally compare this policy to extant “near optimal” policies in the literature. Our extensive computational study shows that our policy leads to superior performance compared to existing heuristics in the literature, particularly when supplies are limited.
Author links open overlay panel J.L. Vile, J.W. Gillard, P.R. Harper, V.A. Knight;2016;https://www.sciencedirect.com/science/article/pii/S2211692314200518;Time-dependent stochastic methods for managing and scheduling Emergency Medical Services;Operations Research for Health Care;https://doi.org/10.1016/j.orhc.2015.07.002;44;science_direct;taylor_2007;False;unknown;k.R.;Abstract Emergency Medical Services (EMS) are facing increasing pressures in many nations given that demands on the service are rising. This article focuses in particular on the operations of the Welsh Ambulance Service Trust (WAST), which is the only organisation that provides urgent paramedical care services on a day-to-day basis across the whole of Wales. In response to WAST’s aspiration to improve the quality of care it provides, this research investigates several interrelated advanced statistical and operational research (OR) methods, culminating in a suite of decision support tools to aid WAST with capacity planning issues. The developed techniques are integrated in a master workforce capacity planning tool that may be independently operated by WAST planners. By means of incorporating methods that seek to simultaneously better predict future demands, recommend minimum staffing requirements and generate low-cost rosters, the tool ultimately provides planners with an analytical base to effectively deploy resources. Whilst the tool is primarily developed for WAST, the generic nature of the methods considered means they could equally be applied to any service subject to demand that is of an urgent nature, cannot be backlogged, is heavily time-dependent and highly variable.
Author links open overlay panel Jack P.C. Kleijnen a, Wim van Beers a, Inneke van Nieuwenhuyse b;2010;https://www.sciencedirect.com/science/article/pii/S0377221709003130;Constrained optimization in expensive simulation: Novel approach;European Journal of Operational Research;https://doi.org/10.1016/j.ejor.2009.05.002;169;science_direct;atlason_et_al_2007,cezik_l_ecuyer_2008;True;unknown;k.R.;Abstract This article presents a novel heuristic for constrained optimization of computationally expensive random simulation models. One output is selected as objective to be minimized, while other outputs must satisfy given threshold values. Moreover, the simulation inputs must be integer and satisfy linear or nonlinear constraints. The heuristic combines (i) sequentialized experimental designs to specify the simulation input combinations, (ii) Kriging (or Gaussian process or spatial correlation modeling) to analyze the global simulation input/output data resulting from these designs, and (iii) integer nonlinear programming to estimate the optimal solution from the Kriging metamodels. The heuristic is applied to an ( s , S ) inventory system and a call-center simulation, and compared with the popular commercial heuristic OptQuest embedded in the Arena versions 11 and 12. In these two applications the novel heuristic outperforms OptQuest in terms of number of simulated input combinations and quality of the estimated optimum.
Author links open overlay panel James W. Taylor;2008;https://www.sciencedirect.com/science/article/pii/S0169207008000629;Exponentially weighted information criteria for selecting among forecasting models;International Journal of Forecasting;https://doi.org/10.1016/j.ijforecast.2008.06.003;35;science_direct;taylor_2007;True;0169-2070;C;Abstract Information criteria (IC) are often used to decide between forecasting models. Commonly used criteria include Akaike's IC and Schwarz's Bayesian IC. They involve the sum of two terms: the model's log likelihood and a penalty for the number of model parameters. The likelihood is calculated with equal weight being given to all observations. We propose that greater weight should be put on more recent observations in order to reflect more recent accuracy. This seems particularly pertinent when selecting among exponential smoothing methods, as they are based on an exponential weighting principle. In this paper, we use exponential weighting within the calculation of the log likelihood for the IC. Our empirical analysis uses supermarket sales and call centre arrivals data. The results show that basing model selection on the new exponentially weighted IC can outperform individual models and selection based on the standard IC.
Author links open overlay panel James W. Taylor;2010;https://www.sciencedirect.com/science/article/pii/S0169207010000464;Exponentially weighted methods for forecasting intraday time series with multiple seasonal cycles;International Journal of Forecasting;https://doi.org/10.1016/j.ijforecast.2010.02.009;116;science_direct;taylor_2007;True;0169-2070;C;Abstract This paper introduces five new univariate exponentially weighted methods for forecasting intraday time series that contain both intraweek and intraday seasonal cycles. Applications of relevance include forecasting volumes of call centre arrivals, transportation, e-mail traffic and electricity loads. The first method that we develop extends an exponential smoothing formulation that has been used for daily sales data, and which involves smoothing the total weekly volume and its split across the periods of the week. Two new methods are proposed that use discount weighted regression (DWR). The first uses DWR to estimate the time-varying parameters of a model with trigonometric terms. The second introduces DWR splines. We also consider a time-varying spline that uses exponential smoothing. The final new method presented here involves the use of singular value decomposition followed by exponential smoothing. Empirical results are provided using a series of intraday call centre arrivals.
Author links open overlay panel James W. Taylor;2010;https://www.sciencedirect.com/science/article/pii/S037722170900705X;Triple seasonal methods for short-term electricity demand forecasting;European Journal of Operational Research;https://doi.org/10.1016/j.ejor.2009.10.003;484;science_direct;taylor_2007;True;unknown;k.R.;Abstract Online short-term load forecasting is needed for the real-time scheduling of electricity generation. Univariate methods have been developed that model the intraweek and intraday seasonal cycles in intraday load data. Three such methods, shown to be competitive in recent empirical studies, are double seasonal ARMA, an adaptation of Holt–Winters exponential smoothing for double seasonality, and another, recently proposed, exponential smoothing method. In multiple years of load data, in addition to intraday and intraweek cycles, an intrayear seasonal cycle is also apparent. We extend the three double seasonal methods in order to accommodate the intrayear seasonal cycle. Using six years of British and French data, we show that for prediction up to a day-ahead the triple seasonal methods outperform the double seasonal methods, and also a univariate neural network approach. Further improvement in accuracy is produced by using a combination of the forecasts from two of the triple seasonal methods.
Author links open overlay panel James W. Taylor a, Ralph D. Snyder b;2012;https://www.sciencedirect.com/science/article/pii/S0305048310000307;Forecasting intraday time series with multiple seasonal cycles using parsimonious seasonal exponential smoothing;Omega;https://doi.org/10.1016/j.omega.2010.03.004;120;science_direct;soyer_tarimcilar_2007,taylor_2007;True;0305-0483;B;Abstract This paper concerns the forecasting of seasonal intraday time series that exhibit repeating intraweek and intraday cycles. A recently proposed exponential smoothing method involves smoothing a different intraday cycle for each distinct type of day of the week. Similar days are allocated identical intraday cycles. A limitation is that the method allows only whole days to be treated as identical. We introduce a new exponential smoothing formulation that allows parts of different days of the week to be treated as identical. The result is a method that involves the smoothing and initialisation of fewer terms. We evaluate forecasting up to a day ahead using two empirical studies. For electricity load data, the new method compares well with a range of alternatives. The second study involves a series of arrivals at a call centre that is open for a shorter duration at the weekends than on weekdays. Among the variety of methods considered, the new method is the only one that can model in a satisfactory way in this situation, where the number of periods on each day of the week is not the same.
Author links open overlay panel Jamol Pender;2016;https://www.sciencedirect.com/science/article/pii/S0377221716301400;Risk measures and their application to staffing nonstationary service systems;European Journal of Operational Research;https://doi.org/10.1016/j.ejor.2016.03.012;23;science_direct;feldman_et_al_2008;True;unknown;k.R.;Abstract In this paper, we explore the use of static risk measures from the mathematical finance literature to assess the performance of some standard nonstationary queueing systems. To do this we study two important queueing models, namely the infinite server queue and the multi-server queue with abandonment. We derive exact expressions for the value of many standard risk measures for the Mt/M/∞, Mt/G/∞, and Mt/Mt/∞ queueing models. We also derive Gaussian based approximations for the value of risk measures for the Erlang-A queueing model. Unlike more traditional approaches of performance analysis, risk measures offer the ability to satisfy the unique and specific risk preferences or tolerances of service operations managers. We also show how risk measures can be used for staffing nonstationary systems with different risk preferences and assess the impact of these staffing policies via simulation.
Author links open overlay panel Jeong Eun Nah a, Seongmoon Kim b;2013;https://www.sciencedirect.com/science/article/pii/S036083521300034X;Workforce planning and deployment for a hospital reservation call center with abandonment cost and multiple tasks;Computers & Industrial Engineering;https://doi.org/10.1016/j.cie.2012.12.024;36;science_direct;atlason_et_al_2007,bhandari_et_al_2008,cezik_l_ecuyer_2008,feldman_et_al_2008,gurvich_et_al_2008;False;unknown;k.R.;Abstract We consider a hospital reservation call center where operators handle multiple tasks. We take into account operator labor costs, caller waiting costs, and abandonment costs for lost calls. Instead of relying on the traditional method of queueing theory for call center management, we present a method that obtains expected caller waiting time and expected abandonment rate directly by introducing the inbound-load parameter. We develop a framework that combines workforce planning and operator deployment for a mixed call center in a single mathematical programming model. This paper also demonstrates how the proposed methodology can be applied in practice, with a case study based on actual operational data. Our primary conclusion is that the method presented in this research can significantly reduce both expected total cost (by 55.1% in our case study) and abandonment rate (from 15% to 2.1% in our case study). In addition, we demonstrate, using a sensitivity analysis, that our methodology will be more effective in an environment where the unit penalty cost of an abandoned call is relatively high among competitive hospitals.
Author links open overlay panel Jerome Niyirora a, Jun Zhuang b;2017;https://www.sciencedirect.com/science/article/pii/S0377221717301996;Fluid approximations and control of queues in emergency departments;European Journal of Operational Research;https://doi.org/10.1016/j.ejor.2017.03.013;22;science_direct;bhandari_et_al_2008,feldman_et_al_2008;True;unknown;k.R.;Abstract Long queues in emergency departments (EDs) lead to overcrowding, a phenomenon that can potentially compromise patient care when medical interventions are delayed. There are several causes of this problem, one of which is inadequate resource allocation. In this paper, we propose using a modified version of the square root staffing (SRS) rule to satisfy the probability of delay target. We use the concepts of kinetics and biological modeling to approximate the fluid behavior of the queueing process. We are then able to estimate the offered load and the appropriate service grade necessary to construct a staffing policy that meets the target. Additionally, we show how to utilize Pontryagin’s maximum principle to find the optimal number of providers that minimizes delay and staffing costs. Finally, we demonstrate the implementation of our model using data from a hospital in upstate New York.
Author links open overlay panel Jian Yang a, Xiangtong Qi b;2009;https://www.sciencedirect.com/science/article/pii/S0925527309001881;On the design of coordinating contracts;International Journal of Production Economics;https://doi.org/10.1016/j.ijpe.2009.06.002;10;science_direct;ren_zhou_et_al_2008;True;0925-5273;B;Abstract We concentrate on a principal and agent system often seen in supply chain management studies. Under reasonable conditions, we show that a nearly systematic three-step method can be used to find coordination contracts for the system. The number of terms involved in our contract is in some sense positively correlated with the degree of information asymmetry between the principal and agent. Several known contract types for the supplier–retailer newsvendor system can be viewed as special cases resulting from applications of this method. Following our three-step approach, we succeed in identifying coordinating contracts for a supply chain involving two products and unobservable retailer efforts.
Author links open overlay panel Jie J. Zhang a 1, Benjamin Lawrence b 1 2, Chris K. Anderson c 1 3;2015;https://www.sciencedirect.com/science/article/pii/S0272696314000734;An agency perspective on service triads: Linking operational and financial performance;Journal of Operations Management;https://doi.org/10.1016/j.jom.2014.10.005;106;science_direct;ren_zhou_et_al_2008;True;0272-6963;A;Abstract We explore one prolific type of service triad, the franchise triad, involving three primary stakeholders: the franchisor, the franchisee and the customer. In this triad, franchisees use their affiliation with the franchisor's brand to attract customers to their local outlets. In exchange for the right of assuming the identity of the brand, the franchisee pays the franchisor royalties and retains residual profits. Applying Agency Theory, this paper examines the inherent conflict of interests between a principal (i.e., franchisor) that controls and manages brand equity as a shared resource and an agent (i.e., franchisee) that retains pricing right and profits from the identity of the brand by interacting directly with customers. We empirically isolate the effect of triad structure on outlet performance by matching two unique datasets. One set of data captures operational performance in the form of aggregated online review scores and the other financial performance including average daily hotel rate and revenue per available room. We find that franchisees charge higher prices than their corporate counterparts even when controlling for operational performance. Even though franchisees charge higher prices they maintain similar financial performance in terms of revenue per available room. These results suggest that the triad structure plays a significant role in franchisees’ ability to free-ride on shared brand equity and have important managerial implications for effective outsourcing, contract design and performance evaluation for a wide range of service industries.
Author links open overlay panel Jing Zan a, John J. Hasenbein b, David P. Morton c, Vijay Mehrotra d;2018;https://www.sciencedirect.com/science/article/pii/S0167637717305321;Staffing call centers under arrival-rate uncertainty with Bayesian updates;Operations Research Letters;https://doi.org/10.1016/j.orl.2018.04.003;13;science_direct;taylor_2007;True;0167-6377;B;Abstract We consider the problem of staffing service centers with quality-of-service constraints. We focus on the case where the arrival rates are uncertain. We introduce formulations that handle staffing decisions made over two decision periods, minimizing the staffing costs over the stages while satisfying a service quality constraint on the second stage operation. A Bayesian update is used to obtain the second-stage arrival-rate distribution based on the first stage prior arrival-rate distribution and the observations in the first stage.
Author links open overlay panel Jordi Olivella b, David Nembhard a;2016;https://www.sciencedirect.com/science/article/pii/S0377221715006700;Calibrating cross-training to meet demand mix variation and employee absence;European Journal of Operational Research;https://doi.org/10.1016/j.ejor.2015.07.036;25;science_direct;cezik_l_ecuyer_2008;True;unknown;k.R.;Abstract We address the problem of determining the cross-training that a work team needs in order to cope with demand mix variation and absences. We consider the case in which all workers can be trained on all tasks, the workforce is a resource that determines the capacity and a complete forecasting of demand is not available. The demand mix variation that the organization wants to be able to cope with is fixed by establishing a maximum time to devote to each product. We contend that this approach is straightforward, has managerial practicality and can be applied to a broad range of practical scenarios. It is required that the demand mix variation be met, even if there are a certain level of absences. To numerically solve the mathematical problem, a constraint-based selection procedure is developed, which we term CODEMI. We provide illustrated examples demonstrating solution quality for the approximation, and we report on an illustrative set of computational cases.
Author links open overlay panel Jorne Van den Bergh a b, Jeroen Beliën a b, Philippe De Bruecker a b, Erik Demeulemeester b, Liesje De Boeck a b;2013;https://www.sciencedirect.com/science/article/pii/S0377221712008776;Personnel scheduling: A literature review;European Journal of Operational Research;https://doi.org/10.1016/j.ejor.2012.11.029;978;science_direct;atlason_et_al_2007,cezik_l_ecuyer_2008;True;unknown;k.R.;Abstract This paper presents a review of the literature on personnel scheduling problems. Firstly, we discuss the classification methods in former review papers. Secondly, we evaluate the literature in the many fields that are related to either the problem setting or the technical features. Each perspective is presented as a table in which the classification is displayed. This method facilitates the identification of manuscripts related to the reader’s specific interests. Throughout the literature review, we identify trends in research on personnel staffing and scheduling, and we indicate which areas should be subject to future research.
Author links open overlay panel Jorne Van den Bergh a, Philippe De Bruecker b, Jeroen Beliën a, Liesje De Boeck a, Erik Demeulemeester b;2013;https://www.sciencedirect.com/science/article/pii/S0957417412012195;A three-stage approach for aircraft line maintenance personnel rostering using MIP, discrete event simulation and DEA;Expert Systems with Applications;https://doi.org/10.1016/j.eswa.2012.11.009;43;science_direct;atlason_et_al_2007;False;unknown;k.R.;Abstract Personnel scheduling problems need to cope with personnel preferences, coverage constraints, legal restrictions, and many other constraints. We present a three-stage methodology that can be used to select personnel rosters. In the first stage we generate multiple personnel rosters with a mathematical programming model. In the second stage, the performance of the rosters regarding a number of service criteria is evaluated through discrete event simulation. In the third stage, a ranking is made using data envelopment analysis. The methodology is tested on a personnel scheduling problem for aircraft line maintenance.
Author links open overlay panel Jose Enrique Galdon-Sanchez a, Ricard Gil b, Alberto Bayo-Moriones a;2015;https://www.sciencedirect.com/science/article/pii/S0014292115000860;Outsourcing of peripheral services: Evidence from Spanish manufacturing plant-level data;European Economic Review;https://doi.org/10.1016/j.euroecorev.2015.06.005;12;science_direct;ren_zhou_et_al_2008;True;0014-2921;k.R.;Abstract In this paper we empirically explore outsourcing decisions of peripheral services using information from a data set of 926 Spanish manufacturing plants. We find that increases in outsourcing of peripheral services are positively correlated with increases in the plant׳s market share as well as increases in product market competition and product prices. These findings are robust to controlling for whether plants belong to single-plant or multi-plant firms. These patterns are consistent with a strategic shift in the allocation of attention to core manufacturing activities, and are at odds with traditional TCE and PRT theories of vertical integration.
Author links open overlay panel Joshua Landon a, Fabrizio Ruggeri b, Refik Soyer c, M. Murat Tarimcilar c;2010;https://www.sciencedirect.com/science/article/pii/S0377221709007905;Modeling latent sources in call center arrival data;European Journal of Operational Research;https://doi.org/10.1016/j.ejor.2009.10.022;16;science_direct;soyer_tarimcilar_2007;True;unknown;k.R.;Abstract In this paper, we discuss issues that arise in the analysis of call center arrivals that are mostly linked to individual ads. More specifically, we consider the case where there is no complete linkage between the calls and the advertisements that led to the calls. The ability to model and infer such latent call arrival sources is important from a marketing as well as an operations point of view since knowledge of the linkage improves forecasting performance of the model. We pose this as a missing data problem and develop a data augmentation algorithm for the Bayesian analysis. We implement the proposed algorithm to simulated and actual call center arrival data and discuss its performance.
Author links open overlay panel Jun Woo Kim a, Sang Chan Park b;2010;https://www.sciencedirect.com/science/article/pii/S0305054809001816;Outsourcing strategy in two-stage call centers;Computers & Operations Research;https://doi.org/10.1016/j.cor.2009.06.020;34;science_direct;ren_zhou_et_al_2008;False;unknown;k.R.;Abstract This paper considers ‘two-stage’ call centers where some incoming calls are completed by first service while others require an additional second service. Although this type of call center is not uncommon, it has not been dealt with, if any, in the call center literature. In this paper, we introduce the concept of the ‘two-stage’ call center and discuss its features. Furthermore, we develop an effective outsourcing strategy in ‘two-stage’ call centers. To this end, we model ‘two-stage’ service system and propose several call routing structures. The structures are compared through numerical test and conventional queueing theories form the theoretical basis of our study.
Author links open overlay panel Jungmok Ma a, Namhun Kim b, Ling Rothrock c;2011;https://www.sciencedirect.com/science/article/pii/S1569190X10001292;Performance assessment in an interactive call center workforce simulation;Simulation Modelling Practice and Theory;https://doi.org/10.1016/j.simpat.2010.06.008;26;science_direct;cezik_l_ecuyer_2008;False;unknown;k.R.;Abstract In this paper, a new performance assessment methodology for human-in-the-loop call center systems at the level of customer-agent interactions (CAI) is proposed. We develop a team-in-the-loop simulation test bed, to analyze CAI-level performance of a service system using a temporal performance measure with time windows. The proposed framework should allow researchers to collect and analyze individual as well as team performance at a finer granularity than current call center efforts which focus on queue-centered analysis. The software framework is object-oriented and has been designed to be configurable. A sample simulation study in different scenarios is illustrated to provide the usages and advantages of the proposed method with index of Interactive Service Performance.
Author links open overlay panel Justus Arne Schwarz, Gregor Selinka, Raik Stolletz;2016;https://www.sciencedirect.com/science/article/pii/S0305048315002170;Performance analysis of time-dependent queueing systems: Survey and classification;Omega;https://doi.org/10.1016/j.omega.2015.10.013;119;science_direct;atlason_et_al_2007,feldman_et_al_2008;True;0305-0483;B;Abstract Many queueing systems are subject to time-dependent changes in system parameters, such as the arrival rate or number of servers. Examples include time-dependent call volumes and agents at inbound call centers, time-varying air traffic at airports, time-dependent truck arrival rates at seaports, and cyclic message volumes in computer systems. There are several approaches for the performance analysis of queueing systems with deterministic parameter changes over time. In this survey, we develop a classification scheme that groups these approaches according to their underlying key ideas into (i) numerical and analytical solutions, (ii) approaches based on models with piecewise constant parameters, and (iii) approaches based on modified system characteristics. Additionally, we identify links between the different approaches and provide a survey of applications that are categorized into service, road and air traffic, and IT systems.
Author links open overlay panel Katsunobu Sasanuma a, Robert Hampshire b, Alan Scheller-Wolf c;2022;https://www.sciencedirect.com/science/article/pii/S2666720721000503;Controlling arrival and service rates to reduce sensitivity of queueing systems with customer abandonment;Results in Control and Optimization;https://doi.org/10.1016/j.rico.2021.100089;1;science_direct;feldman_et_al_2008,gurvich_et_al_2008;False;unknown;k.R.;Abstract The Erlang A model – an M/M/s queue with exponential abandonment – is often used to represent a service system with impatient customers. For this system, the popular square-root staffing rule determines the necessary staffing level to achieve the desirable QED (quality-and-efficiency-driven) service regime, however, the rule also implies that properties of large systems are highly sensitive to parameters. We reveal that the origin of this high sensitivity is due to the operation of large systems at a point of singularity in a phase diagram of service regimes. We can avoid this singularity by implementing a congestion-based control (CBC) scheme—a scheme that allows the system to change its arrival and service rates under congestion. We analyze a modified Erlang A model under the CBC scheme using a Markov chain decomposition method, derive non-asymptotic and asymptotic normal representations of performance indicators, and confirm that the CBC scheme makes large systems less sensitive than the original Erlang A model.
Author links open overlay panel Kim De Boeck a, Raïsa Carmen b, Nico Vandaele a;2019;https://www.sciencedirect.com/science/article/pii/S2211692318300092;Needy boarding patients in emergency departments: An exploratory case study using discrete-event simulation;Operations Research for Health Care;https://doi.org/10.1016/j.orhc.2019.02.002;9;science_direct;feldman_et_al_2008;False;unknown;k.R.;Abstract Boarding patients and the extra workload they introduce are a major concern in emergency departments. Currently, research on boarding has focused on the beds that these patients occupy while they wait for admission in the inpatient ward. Little attention has been given to the check-ups these patients will inevitably need while waiting. These check-ups also confront the physicians with a challenging task: prioritizing between boarding patients and patients currently under treatment in the emergency department. This article firstly explores the limited previous research on boarding patients. Secondly, this paper quantitatively demonstrates that needy boarding patients can significantly impact system performance and hence should be accounted for in the analysis and planning of an emergency department through discrete-event simulation. Next, three static priority policies (first-come, first-served and always prioritizing either boarding patients or the other patients) and one dynamic priority policy (using accumulating priorities) are evaluated on various performance measures. We find, for our case study, that system performance is optimized by applying a priority policy that favours patients currently under treatment in the emergency department.
Author links open overlay panel Kyoung-Kuk Kim a 1, Michael K. Lim b;2015;https://www.sciencedirect.com/science/article/pii/S0167637714001436;R&D outsourcing in an innovation-driven supply chain;Operations Research Letters;https://doi.org/10.1016/j.orl.2014.10.005;20;science_direct;ren_zhou_et_al_2008;True;0167-6377;B;Abstract We consider R&D outsourcing in an innovation-driven supply chain. We find that there exists a threshold in the firm’s R&D cost above which it prefers to outsource via hosting a contest. When designing an R&D contest, we find that the firm benefits from inviting as many suppliers as possible if the R&D participation barrier is low. Otherwise, the firm may prefer to offer entry subsidies or impose fees to purposefully manipulate the contest structure.
